Martyrs;12/31/15
Open Season: Scared Silly;12/31/15
Anomalisa;12/30/15
Harry Price: Ghost Hunter;12/27/15
And Then There Were None;12/26/15
Daddy's Home;12/25/15
Doctor Who: The Husbands of River Song;12/25/15
The Hateful Eight;12/25/15
The Revenant;12/25/15
Brothers of the Wind;12/24/15
Joy;12/24/15
Capsule;12/23/15
Where to Invade Next;12/23/15
Taylor Swift: The 1989 World Tour - Live;12/20/15
A Christmas Melody;12/19/15
Mythica: The Necromancer;12/19/15
Extraction;12/18/15
Sisters;12/18/15
Alvin and the Chipmunks: The Road Chip;12/17/15
Star Wars: The Force Awakens;12/15/15
Childhood's End;12/14/15
American Hero;12/11/15
Close Range;12/11/15
Don Verdean;12/11/15
The Big Short;12/11/15
The Girl King;12/11/15
The Ridiculous 6;12/11/15
Merry Kissmas;12/5/15
A Very Murray Christmas;12/4/15
Chi-Raq;12/4/15
Christmas Eve;12/4/15
Sunset Song;12/4/15
Point Break;12/3/15
A Christmas Detour;12/1/15
Bad Roomies;12/1/15
Crown for Christmas;11/27/15
Hello, My Name Is Doris;11/27/15
Submerged;11/27/15
The Danish Girl;11/27/15
12 Gifts of Christmas;11/26/15
A Bigger Splash;11/26/15
Krampus;11/26/15
Creed;11/25/15
Sanjay's Super Team;11/25/15
The Lion Guard: Return of the Roar;11/22/15
Carol;11/20/15
Criminal Activities;11/20/15
In the Heart of the Sea;11/20/15
The Night Before;11/20/15
The Hunger Games: Mockingjay - Part 2;11/18/15
Christmas Incorporated;11/15/15
The Good Dinosaur;11/14/15
Condemned;11/13/15
Heist;11/13/15
John Mulaney: The Comeback Kid;11/13/15
My All American;11/13/15
The Funhouse Massacre;11/13/15
The Lady in the Van;11/13/15
By the Sea;11/12/15
Concussion;11/12/15
Love the Coopers;11/12/15
The Outfield;11/10/15
Victor Frankenstein;11/10/15
Andron;11/8/15
One Soldier's Story: The Journey of American Sniper;11/7/15
Cosmic Scrat-tastrophe;11/6/15
Kill Your Friends;11/6/15
Spotlight;11/6/15
The Condemned 2;11/6/15
The Hallow;11/6/15
Wrecker;11/6/15
Lost in the Sun;11/5/15
The Peanuts Movie;11/5/15
Brooklyn;11/4/15
Minions: The Competition;11/4/15
Frankenstein;11/3/15
Riley's First Date?;11/3/15
Freaks of Nature;10/30/15
400 Days;10/29/15
Belli di papÃ ;10/29/15
Halo: The Fall of Reach;10/27/15
The Audition;10/27/15
Trumbo;10/27/15
Spectre;10/26/15
The Hollow;10/24/15
The Unspoken;10/24/15
Bone Tomahawk;10/23/15
Extraordinary Tales;10/23/15
I Smile Back;10/23/15
Remember;10/23/15
Scouts Guide to the Zombie Apocalypse;10/23/15
Io che amo solo te;10/22/15
Jem and the Holograms;10/22/15
Rock the Kasbah;10/22/15
Paranormal Activity: The Ghost Dimension;10/21/15
Back in Time;10/20/15
Jesse Stone: Lost in Paradise;10/18/15
Amy Schumer: Live at the Apollo;10/17/15
They Found Hell;10/17/15
All Things Must Pass;10/16/15
Bastard;10/16/15
Experimenter;10/16/15
Meadowland;10/16/15
Penis Boy;10/16/15
Re-Kill;10/16/15
Room;10/16/15
Suffragette;10/16/15
SuperBob;10/16/15
Tales of Halloween;10/16/15
The Wicked Within;10/16/15
Woodlawn;10/16/15
Bridge of Spies;10/15/15
The Fear of 13;10/15/15
A Ballerina's Tale;10/14/15
Secret in Their Eyes;10/14/15
The Ones Below;10/14/15
Crimson Peak;10/13/15
The Inhabitants;10/13/15
Ominous;10/10/15
Hyena Road;10/9/15
I Spit on Your Grave III: Vengeance is Mine;10/9/15
Invisible Sister;10/9/15
Junun;10/9/15
Steve Jobs;10/9/15
The Exorcism of Molly Hartley;10/9/15
The Final Girls;10/9/15
Winter on Fire: Ukraine's Fight for Freedom;10/9/15
A Faster Horse;10/8/15
Navy Seals vs. Zombies;10/8/15
The Lobster;10/8/15
The Subjects;10/8/15
The Forbidden Room;10/7/15
All Hallows' Eve 2;10/6/15
Last Shift;10/6/15
Tremors 5: Bloodlines;10/6/15
Blunt Force Trauma;10/5/15
Ellis;10/4/15
A Christmas Horror Story;10/2/15
Burnt;10/2/15
Circle;10/2/15
Freeheld;10/2/15
Hell & Back;10/2/15
Fathers and Daughters;10/1/15
Howl;10/1/15
Regression;10/1/15
The Dead Room;10/1/15
The Dressmaker;10/1/15
The Martian;9/30/15
The Walk;9/30/15
è§£æ•‘å´å…ˆç”Ÿ;9/30/15
R.L. Stine's Monsterville: The Cabinet of Souls;9/29/15
Man vs. Snake;9/27/15
99 Homes;9/25/15
Hellions;9/25/15
Narcopolis;9/25/15
Wildlike;9/25/15
Pan;9/24/15
The Intern;9/24/15
Waffle Street;9/24/15
Hotel Transylvania 2;9/21/15
How to Plan an Orgy in a Small Town;9/19/15
Keith Richards: Under the Influence;9/18/15
Naomi and Ely's No Kiss List;9/18/15
Stonewall;9/18/15
Captive;9/17/15
Oddball;9/17/15
Sicario;9/17/15
Southbound;9/17/15
The Man Who Knew Infinity;9/17/15
Forsaken;9/16/15
Pawn Sacrifice;9/16/15
Pay the Ghost;9/16/15
The Program;9/16/15
Hidden;9/15/15
Septembers of Shiraz;9/15/15
The Gamechangers;9/15/15
Being Charlie;9/14/15
The Girl in the Photographs;9/14/15
The Hive;9/14/15
An Inspector Calls;9/13/15
Born to Be Blue;9/13/15
